Title,Price in Pounds,Category
First and First (Five Boroughs #3),15.97,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Religion
Danganronpa Volume 1,51.99,Sequential Art
Crown of Midnight (Throne of Glass #2),43.29,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Sequential Art
Camp Midnight,17.08,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Nonfiction
Burning,28.81,Young Adult
Bossypants,49.46,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,30.81,Nonfiction
A World of Flavor: Your Gluten Free Passport,42.95,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Default
A Murder in Time,16.64,Mystery
A Flight of Arrows (The Pathfinders #2),55.53,Historical Fiction
A Fierce and Subtle Poison,28.13,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,54,Christian
You Are What You Love: The Spiritual Power of Habit,21.87,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Science Fiction
Tuesday Nights in 1980,21.04,Fiction
Tracing Numbers on a Train,41.6,Default
Throne of Glass (Throne of Glass #1),35.07,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,History
Thirteen Reasons Why,52.72,Default
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Childrens
The Wedding Dress,24.12,Romance
The Vacationers,42.15,Fiction
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Business
The Stranger,17.44,Philosophy
The Shadow Hero (The Shadow Hero),33.14,Sequential Art
The Secret (The Secret #1),27.37,Default
The Regional Office Is Under Attack!,51.36,Fiction
The Psychopath Test: A Journey Through the Madness Industry,36,Default
The Project,10.65,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Mystery
The Mistake (Off-Campus #2),43.29,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,Crime
The Kite Runner,41.82,Default
The House by the Lake,36.95,Historical Fiction
The Glittering Court (The Glittering Court #1),44.28,Fantasy
The Girl on the Train,55.02,Default
The Genius of Birds,17.24,Nonfiction
The Emerald Mystery,23.15,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32,Default
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Nonfiction
The Art of War,33.34,Default
The Argonauts,10.93,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Business
Suddenly in Love (Lake Haven #1),55.99,Romance
Something More Than This,16.24,Romance
Soft Apocalypse,26.12,Science Fiction
So You've Been Publicly Shamed,12.23,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,23.99,Business
"Shobu Samurai, Project Aryoku (#3)",29.06,Add a comment
Secrets and Lace (Fatal Hearts #1),20.27,Default
Scarlett Epstein Hates It Here,43.55,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,Default
Redeeming Love,20.47,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,Default
Poems That Make Grown Women Cry,14.19,Poetry
"Nightingale, Sing",38.28,Young Adult
Night Sky with Exit Wounds,41.05,Poetry
Mrs. Houdini,30.25,Historical Fiction
Modern Romance,28.26,Add a comment
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,Default
Louisa: The Extraordinary Life of Mrs. Adams,16.85,Biography
Little Red,13.47,Childrens
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Young Adult
Large Print Heart of the Pride,19.15,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Womens Fiction
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,Fantasy
Grumbles,22.16,Default
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Travel
Frostbite (Vampire Academy #2),29.99,Young Adult
Follow You Home,21.36,Horror
First Steps for New Christians (Print Edition),29,Default
Finders Keepers (Bill Hodges Trilogy #2),53.53,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Sequential Art
Eureka Trivia 6.0,54.59,Default
Drive: The Surprising Truth About What Motivates Us,34.95,Default
Done Rubbed Out (Reightman & Bailey #1),37.72,Default
Doing It Over (Most Likely To #1),35.61,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Food and Drink
Dark Notes,19.19,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Nonfiction
Close to You,49.46,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,37.8,Spirituality
Big Magic: Creative Living Beyond Fear,30.8,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),11.11,Default
Batman: The Long Halloween (Batman),36.5,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,Sequential Art
Ayumi's Violin,15.48,Default
Anonymous,46.82,Default
Amy Meets the Saints and Sages,18.46,Default
Amid the Chaos,36.58,Cultural
Amatus,50.54,Default
Agnostic: A Spirited Manifesto,12.51,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,24.7,History
You (You #1),43.61,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Sequential Art
Wild Swans,14.36,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,Sequential Art
Walt Disney's Alice in Wonderland,12.96,Childrens
V for Vendetta (V for Vendetta Complete),37.1,Default
Until Friday Night (The Field Party #1),46.31,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Default
Twenty Yawns,22.08,Childrens
Through the Woods,25.38,Sequential Art
This Is Where It Ends,27.12,Young Adult
The Year of Magical Thinking,43.04,Nonfiction
The Wright Brothers,56.8,Default
The White Queen (The Cousins' War #1),25.91,Add a comment
The Wedding Pact (The O'Malleys #2),32.61,Romance
The Time Keeper,27.88,Fiction
The Testament of Mary,52.67,Fiction
The Star-Touched Queen,46.02,Fantasy
The Songs of the Gods,44.48,Default
The Song of Achilles,37.4,Add a comment
The Rosie Project (Don Tillman #1),54.04,Default
The Power of Habit: Why We Do What We Do in Life and Business,16.88,Default
The Marriage of Opposites,28.08,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,Psychology
The Long Haul (Diary of a Wimpy Kid #9),44.07,Humor
The Loney,23.4,Horror
The Literature Book (Big Ideas Simply Explained),17.43,Nonfiction
The Last Mile (Amos Decker #2),54.21,Mystery
The Immortal Life of Henrietta Lacks,40.67,Add a comment
The Hidden Oracle (The Trials of Apollo #1),52.26,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Food and Drink
The Guilty (Will Robie #4),13.82,Thriller
The First Hostage (J.B. Collins #2),25.85,Fiction
The Dovekeepers,48.78,Add a comment
The Darkest Lie,35.35,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,Nonfiction
The 14th Colony (Cotton Malone #11),39.24,Thriller
That Darkness (Gardiner and Renner #1),13.92,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,Mystery
Take Me with You,45.21,Fiction
Swell: A Year of Waves,45.58,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Sequential Art
Still Life with Bread Crumbs,26.41,Fiction
Steve Jobs,39.5,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Science
Someone Like You (The Harrisons #2),52.79,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Sequential Art
Shtum,55.84,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Travel
salt.,46.78,Poetry
Robin War,47.82,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Sequential Art
Rain Fish,23.57,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Poetry
Pet Sematary,10.56,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Self Help
Once Was a Time,18.28,Childrens
Old School (Diary of a Wimpy Kid #10),11.83,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Sequential Art
My Name Is Lucy Barton,41.56,Fiction
My Mrs. Brown,24.48,Fiction
My Kind of Crazy,40.36,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,Fiction
More Than Music (Chasing the Dream #1),37.61,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,38.85,Business
Luis Paints the World,53.95,Childrens
Luckiest Girl Alive,49.83,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Sequential Art
Love Is a Mix Tape (Music #1),18.03,Music
Looking for Lovely: Collecting the Moments that Matter,29.14,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Default
Let It Out: A Journey Through Journaling,26.79,Nonfiction
Lady Midnight (The Dark Artifices #1),16.28,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,Food and Drink
Island of Dragons (Unwanteds #7),29.65,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Humor
I Am Pilgrim (Pilgrim #1),10.6,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Humor
"Hush, Hush (Hush, Hush #1)",47.02,Default
Hold Your Breath (Search and Rescue #1),28.82,Romance
Hamilton: The Revolution,58.79,Nonfiction
Greek Mythic History,10.23,Default
God: The Most Unpleasant Character in All Fiction,30.03,Religion
Glory over Everything: Beyond The Kitchen House,45.84,Historical Fiction
Feathers: Displays of Brilliant Plumage,49.05,Art
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Nonfiction
Every Last Word,46.47,Default
Eligible (The Austen Project #4),27.09,Fiction
El Deafo,57.62,Sequential Art
Eight Hundred Grapes,14.39,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Nonfiction
"Eat Fat, Get Thin",54.07,Health
Don't Get Caught,55.35,Young Adult
Doctor Sleep (The Shining #2),40.12,Horror
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Fantasy
Dear Mr. Knightley,11.21,Fiction
Daily Fantasy Sports,36.58,Default
Crazy Love: Overwhelmed by a Relentless God,47.72,Christian
Cometh the Hour (The Clifton Chronicles #6),25.01,Fiction
Code Name Verity (Code Name Verity #1),22.13,Add a comment
Clockwork Angel (The Infernal Devices #1),44.14,Default
City of Glass (The Mortal Instruments #3),56.02,Fantasy
City of Fallen Angels (The Mortal Instruments #4),11.23,Default
City of Bones (The Mortal Instruments #1),43.28,Default
City of Ashes (The Mortal Instruments #2),47.27,Default
Cell,20.29,Add a comment
Catching Jordan (Hundred Oaks),50.83,Young Adult
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Default
Carrie,46.23,Default
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,Nonfiction
Brain on Fire: My Month of Madness,49.32,Nonfiction
Batman: Europa,32.01,Sequential Art
Barefoot Contessa Back to Basics,28.01,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Food and Drink
Balloon Animals,17.03,Fiction
Art Ops Vol. 1,48.8,Sequential Art
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Young Adult
Angels Walking (Angels Walking #1),34.2,Add a comment
Angels & Demons (Robert Langdon #1),51.48,Default
All the Light We Cannot See,29.87,Historical
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,Sequential Art
Abstract City,56.37,Nonfiction
A Time of Torment (Charlie Parker #14),48.35,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,Mystery
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Add a comment
A People's History of the United States,40.79,Add a comment
A Man Called Ove,39.72,Fiction
A Distant Mirror: The Calamitous 14th Century,14.58,History
A Brush of Wings (Angels Walking #3),55.51,Add a comment
1491: New Revelations of the Americas Before Columbus,21.8,History
"The Three Searches, Meaning, and the Story",13.33,Default
Searching for Meaning in Gailana,38.73,Fantasy
Rook,37.86,Add a comment
My Kitchen Year: 136 Recipes That Saved My Life,11.53,Food and Drink
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,Nonfiction
Will You Won't You Want Me?,13.86,Womens Fiction
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,Science
The Star-Touched Queen,32.3,Fantasy
The Silent Sister (Riley MacPherson #1),46.29,Fiction
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,Add a comment
The Lonely City: Adventures in the Art of Being Alone,33.26,Nonfiction
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Add a comment
The Golden Condom: And Other Essays on Love Lost and Found,39.43,Psychology
The Epidemic (The Program 0.6),14.44,Young Adult
The Dinner Party,56.54,Fiction
The Diary of a Young Girl,59.9,Nonfiction
The Children,11.88,Add a comment
Stars Above (The Lunar Chronicles #4.5),48.05,Young Adult
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Nonfiction
Raspberry Pi Electronics Projects for the Evil Genius,49.67,Default
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,Business
Psycho: Sanitarium (Psycho #1.5),36.97,Horror
Poisonous (Max Revere Novels #3),26.8,Mystery
One with You (Crossfire #5),15.71,Add a comment
No Love Allowed (Dodge Cove #1),54.65,Young Adult
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Mystery
Most Wanted,35.28,Mystery
"Love, Lies and Spies",20.55,Historical Fiction
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Default
Hide Away (Eve Duncan #20),11.84,Mystery
Furiously Happy: A Funny Book About Horrible Things,41.46,Nonfiction
Everyday Italian: 125 Simple and Delicious Recipes,20.1,Food and Drink
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,Politics
Eleanor & Park,56.51,Default
Dirty (Dive Bar #1),40.83,Romance
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,Horror
Boar Island (Anna Pigeon #19),59.48,Mystery
A Paris Apartment,39.01,Historical Fiction
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,Food and Drink
Troublemaker: Surviving Hollywood and Scientology,48.39,Default
The Widow,27.26,Mystery
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Nonfiction
The Improbability of Love,59.45,Fiction
The Art of Startup Fundraising,21,Business
Take Me Home Tonight (Rock Star Romance #3),53.98,Romance
Sleeping Giants (Themis Files #1),48.74,Science Fiction
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Biography
Playing with Fire,13.71,Mystery
Off the Hook (Fishing for Trouble #1),47.67,Romance
Mothering Sunday,13.34,Fiction
"Mother, Can You Not?",16.89,Nonfiction
M Train,27.18,Autobiography
Lilac Girls,17.28,Historical Fiction
Lies and Other Acts of Love,45.14,Fiction
Lab Girl,40.85,Autobiography
Keep Me Posted,20.46,Womens Fiction
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Psychology
Grey (Fifty Shades #4),48.49,Womens Fiction
"Exit, Pursued by a Bear",51.34,Young Adult
Daredevils,16.34,Fiction
Cravings: Recipes for What You Want to Eat,20.5,Food and Drink
Born for This: How to Find the Work You Were Meant to Do,21.59,Business
Arena,21.36,Science Fiction
Adultery,20.88,Default
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Nonfiction
A Gentleman's Position (Society of Gentlemen #3),14.75,Romance
11/22/63,48.48,Fiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Nonfiction
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Health
Without Shame,48.27,Add a comment
Watchmen,58.05,Add a comment
Unlimited Intuition Now,58.87,Default
Underlying Notes,11.82,Default
The Shack,28.03,Fiction
The New Brand You: Your New Image Makes the Sale for You,44.05,Default
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Food and Drink
The Flowers Lied,16.68,Default
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,Science
The Book of Mormon,24.57,Religion
The Art and Science of Low Carbohydrate Living,52.98,Health
The Alien Club,54.4,Young Adult
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Novels
Nap-a-Roo,25.08,Childrens
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Default
Modern Day Fables,47.44,Default
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,Spirituality
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Sequential Art
Dress Your Family in Corduroy and Denim,43.68,Humor
Don't Forget Steven,33.23,Young Adult
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Nonfiction
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Art
A Shard of Ice (The Black Symphony Saga #1),56.63,Fantasy
A Hero's Curse (The Unseen Chronicles #1),50.49,Add a comment
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Add a comment
"Zero to One: Notes on Startups, or How to Build the Future",34.06,Nonfiction
Why Not Me?,17.76,Nonfiction
When Breath Becomes Air,39.36,Nonfiction
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Travel
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Default
The New Drawing on the Right Side of the Brain,43.02,Art
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Nonfiction
The Martian (The Martian #1),41.39,Default
The High Mountains of Portugal,51.15,Fiction
The Grownup,35.88,Short Stories
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,Business
South of Sunshine,28.93,Young Adult
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Nonfiction
Silence in the Dark (Logan Point #4),58.33,Suspense
Shadows of the Past (Logan Point #1),39.67,Christian Fiction
Roller Girl,14.1,Sequential Art
Rising Strong,21.82,Nonfiction
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,Philosophy
Please Kill Me: The Uncensored Oral History of Punk,31.19,Music
Out of Print: City Lights Spotlight No. 14,53.64,Poetry
My Life Next Door (My Life Next Door ),36.39,Young Adult
Miller's Valley,58.54,Fiction
Man's Search for Meaning,29.48,Nonfiction
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Nonfiction
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Nonfiction
Les Fleurs du Mal,29.04,Poetry
Left Behind (Left Behind #1),40.72,Default
